03/03/19;000000;75.0360000;75.0360000;75.0100000;75.0340000;10
04/03/19;000000;75.0760000;75.0760000;74.2610000;74.6072000;5939
05/03/19;000000;74.6070000;74.6691000;74.1490000;74.3862000;6262
06/03/19;000000;74.3330000;74.6926000;74.2220000;74.5620000;6489
07/03/19;000000;74.6076000;74.7205000;74.0220000;74.0772000;6347
08/03/19;000000;74.0340000;74.7122000;73.9620000;74.4592000;6390
09/03/19;000000;74.4930000;74.5680000;74.4320000;74.5210000;224
10/03/19;000000;74.6070000;74.6320000;74.5780000;74.5960000;23
11/03/19;000000;74.6250000;74.7127000;74.0081000;74.0099000;5593
12/03/19;000000;74.0970000;74.2690000;73.8800000;74.0517000;6076
13/03/19;000000;74.0840000;74.1752000;73.7600000;74.1013000;6001
14/03/19;000000;74.0980000;74.1471000;73.8120000;73.9521000;6035
15/03/19;000000;74.0090000;74.1750000;73.2160000;73.2220000;6084
16/03/19;000000;73.3940000;73.4990000;73.3805000;73.4990000;9
17/03/19;000000;73.5232000;73.5298000;73.3338000;73.3820000;84
18/03/19;000000;73.4000000;73.6030000;72.7680000;72.8540000;6410
19/03/19;000000;73.0280000;73.2271000;72.8150000;73.0612000;6157
20/03/19;000000;73.0600000;73.1976000;72.6960000;72.9289000;6481
21/03/19;000000;72.7620000;73.0730000;72.3460000;72.6195000;6612
22/03/19;000000;72.6310000;73.1554000;72.2010000;72.9790000;6055
23/03/19;000000;73.1060000;73.1530000;72.9770000;73.1530000;18
24/03/19;000000;72.8360000;73.0530000;72.6580000;72.9290000;19
25/03/19;000000;72.8420000;73.1550000;72.1820000;72.3621000;5903
26/03/19;000000;72.4060000;72.8547000;72.2020000;72.5030000;6602
27/03/19;000000;72.5810000;73.2038000;72.3810000;72.8429000;6157
28/03/19;000000;72.8810000;73.2980000;72.5680000;72.8593000;6107
29/03/19;000000;73.0920000;73.8420000;72.3790000;73.5850000;27033
30/03/19;000000;73.6690000;73.7440000;73.5347000;73.7440000;9
31/03/19;000000;73.7150000;73.9360000;73.7150000;73.8570000;26
01/04/19;000000;73.6810000;74.0140000;72.9560000;73.1113000;30931
02/04/19;000000;73.1460000;73.4404000;72.9460000;73.0810000;26266
03/04/19;000000;73.1820000;73.4900000;73.0000000;73.2559000;31866
04/04/19;000000;73.2730000;73.5480000;73.1100000;73.3377000;32047
05/04/19;000000;73.3700000;73.5640000;73.0890000;73.1110000;27022
06/04/19;000000;73.2500000;73.3210000;72.9400000;73.3050000;10
07/04/19;000000;73.2220000;73.5104000;73.2220000;73.5057000;20
08/04/19;000000;73.5110000;73.6030000;72.9320000;73.0335000;28107
09/04/19;000000;73.0390000;73.2310000;72.7930000;73.1262000;26649
10/04/19;000000;73.1530000;73.1770000;72.3220000;72.3520000;29766
11/04/19;000000;72.5420000;72.8360000;72.3100000;72.6215000;27967
12/04/19;000000;72.6740000;72.9470000;72.0190000;72.5612000;30863
13/04/19;000000;72.5440000;72.8360000;72.5440000;72.8360000;9
14/04/19;000000;72.5680000;72.9520000;72.4530000;72.9520000;18
15/04/19;000000;72.6430000;73.0380000;72.5290000;72.6611000;23423
16/04/19;000000;72.6800000;72.8000000;72.1311000;72.2771000;29803
17/04/19;000000;72.2560000;72.4510000;71.9440000;72.0477000;23074
18/04/19;000000;72.0910000;72.4372000;71.6140000;71.7602000;6431
19/04/19;000000;71.7260000;72.0420000;71.6090000;71.9620000;1548
20/04/19;000000;71.9640000;72.0420000;71.9610000;72.0420000;7
21/04/19;000000;71.9740000;71.9760000;71.8780000;71.9720000;19
22/04/19;000000;71.8790000;72.0206000;71.6460000;71.7960000;1735
23/04/19;000000;71.8000000;71.8732000;71.3370000;71.4600000;20668
24/04/19;000000;71.5180000;72.0210000;71.3480000;71.8796000;27003
